Vendor|VendorAbbr|CountryCode|ProductID|ProductDescription|ProductType|ProductLine|Finish|UOM|Zero81|PkQtyForPricing|Keynote
ASSA|AS|UK|10464400000|SA MINI UPDATER  W/RDR MF :STCR2PUPDATMINI|EA|SMARTAIR|n/a|EA|465.75|1|11.9
ASSA|AS|UK|10473200000|FLEXCORE PLUS ADDITIONAL KEY            |CY|FLEXCORE PLUS|n/a|EA|10.3|1|1.1
ASSA|AS|UK|10487100131|SA WALL RDR WL WITH KEYPAD MF (IP55) :SNWR2KUSSB|EA|SMARTAIR|SSS|EA|414.2|1|11.2
ASSA|AS|UK|10495700085|SA BASIC ENERGY SAVER WHITE :STHDESC2STSB|EA|SMARTAIR|BLK|EA|26|1|11.9
ASSA|AS|UK|10498400031|SA READER PART  THUMBTURN - STCATHUMBTU|EA|SMARTAIR|SSS|EA|8.9|1|11.2
ASSA|AS|UK|10509600064|SA WALL RDR WL MF (IP55) :SNWR2PUSSB|EA|SMARTAIR|BLK|EA|372.78|1|11.2
ASSA|AS|UK|10517700000|SA WALL RDR O/L - UOC WITH KEYPAD MF (IP55) :SNCR2KUSSB|EA|SMARTAIR|n/a|EA|326.2|1|11.2
ASSA|AS|UK|10521800164|SA WALL RDR S/A MF (IP55) :SNAR2PUSSB|EA|SMARTAIR|BLK|EA|284.78|1|11.2
ASSA|AS|UK|40359310057|1792 LOCKCASE|LO|1792|BZ|EA|29.17|1|2.1
ASSA|AS|UK|41868210000|EXTENSION PIECE 12.5MM|FN|ASSA|n/a|EA|7.72|1|9.9
ASSA|AS|UK|80209010057|1593 CUPBOARD LOCK W/O CYLINDER|LO|1593|BZ|EA|14.56|1|2.1
ASSA|AS|UK|80742510000|EXTENSION PIECE 10MM|CY|ASSA|n/a|EA|7.72|1|1.1
ASSA|AS|UK|82000200000|ASSA DP ORIGINAL KEY (NEW SYSTEM)  |CY|DP|n/a|EA|10.88|1|1.1
ASSA|AS|UK|82000200100|ASSA DP ORIGINAL KEY (EXISTING SYSTEM)  |CY|DP|n/a|EA|10.88|1|1.1
ASSA|AS|UK|10282110081|1325 RETURN TO DOOR HANDLE SAA'63434'   |FN|1325|AL|EA|26.78|1|9.1
